,bid2val,N,alpha,gamma,egreedy,design,asynchronous,feedback,num_actions,counterfactual
0,0.8,6,0.1,0.0,1,0,1,0,6,0.0
1,0.8666666666666667,2,0.01,0.99,0,1,0,0,16,0.0
2,1.0,2,0.1,0.99,0,1,0,1,6,0.0
3,1.0,6,0.01,0.0,0,1,0,0,6,0.0
4,0.8666666666666667,2,0.01,0.0,0,1,1,1,16,1.0
5,0.9333333333333333,6,0.1,0.0,0,0,0,1,16,0.0
6,0.8,6,0.1,0.0,1,0,1,0,6,0.0
7,0.4666666666666667,2,0.1,0.99,1,1,1,1,16,1.0
8,1.0,6,0.1,0.99,1,1,0,1,16,0.0
9,0.2,2,0.1,0.99,0,1,1,0,6,0.0
10,0.9333333333333333,6,0.1,0.99,0,0,0,1,16,0.0
11,0.9333333333333333,6,0.01,0.99,1,0,0,1,16,0.0
12,0.8,6,0.1,0.0,0,1,1,1,6,1.0
13,0.9333333333333333,6,0.1,0.99,0,0,0,0,16,0.0
14,1.0,2,0.1,0.0,0,1,0,1,6,0.0
15,0.9333333333333333,2,0.01,0.0,1,0,1,0,16,0.0
16,0.9333333333333333,6,0.1,0.0,1,1,1,0,16,0.0
17,0.8,2,0.01,0.0,1,0,0,1,6,0.0
18,1.0,6,0.1,0.0,1,1,0,0,16,0.0
19,0.8,2,0.01,0.0,1,0,0,0,6,0.0
20,1.0,6,0.1,0.99,1,1,0,0,16,0.0
21,0.9333333333333333,6,0.01,0.0,1,1,1,1,16,1.0
22,0.9333333333333333,2,0.1,0.0,0,0,0,1,16,0.0
23,0.9333333333333333,6,0.1,0.99,1,0,0,0,16,0.0
24,0.6,2,0.1,0.99,0,1,0,0,6,0.0
25,1.0,6,0.1,0.0,0,0,0,0,6,0.0
26,0.3333333333333333,2,0.01,0.0,1,1,1,0,16,0.0
27,0.8,2,0.1,0.99,0,0,1,1,6,1.0
28,0.4,2,0.01,0.99,1,1,1,0,16,0.0
29,0.8,2,0.01,0.0,0,0,0,1,6,0.0
30,1.0,2,0.01,0.0,1,0,0,0,6,0.0
31,0.9333333333333333,6,0.1,0.0,1,0,1,1,16,1.0
32,0.9333333333333333,2,0.1,0.0,1,0,0,0,16,0.0
33,0.9333333333333333,6,0.01,0.99,1,0,0,0,16,0.0
34,0.8,2,0.1,0.0,1,0,0,1,6,0.0
35,0.9333333333333333,6,0.1,0.99,1,0,1,1,16,1.0
36,0.8,2,0.1,0.99,0,0,0,1,6,0.0
37,0.8,6,0.01,0.0,0,1,1,1,6,1.0
38,0.9333333333333333,6,0.1,0.0,0,0,1,0,16,0.0
39,0.9333333333333333,6,0.1,0.0,1,1,1,0,16,0.0
40,1.0,6,0.01,0.99,1,1,0,0,16,0.0
41,1.0,2,0.1,0.0,0,1,0,1,6,0.0
42,0.9333333333333333,2,0.01,0.0,1,0,0,0,16,0.0
43,1.0,6,0.01,0.0,0,1,0,0,16,0.0
44,0.6,2,0.1,0.0,1,1,1,0,6,0.0
45,1.0,2,0.01,0.0,1,1,0,0,16,0.0
46,0.9333333333333333,2,0.1,0.99,0,0,0,0,16,0.0
0,0.7333333333333333,2,0.01,0.0,1,1,1,1,16,1.0
1,0.8,2,0.1,0.99,1,1,0,1,16,0.0
2,0.9333333333333333,2,0.01,0.0,1,0,0,0,16,0.0
3,0.9333333333333333,2,0.1,0.99,0,0,0,0,16,0.0
4,0.9333333333333333,2,0.1,0.0,0,0,1,0,16,0.0
5,0.9333333333333333,2,0.01,0.99,1,0,0,0,16,0.0
6,1.0,6,0.01,0.0,0,1,0,1,16,0.0
7,0.8,2,0.1,0.99,0,0,1,0,6,0.0
8,0.5333333333333333,2,0.1,0.0,0,1,0,1,16,0.0
9,0.9333333333333333,6,0.01,0.99,0,0,1,1,16,1.0
10,0.4666666666666667,2,0.01,0.0,1,1,0,0,16,0.0
11,0.8,6,0.01,0.0,0,1,1,1,6,1.0
12,0.6,2,0.1,0.0,1,1,1,0,6,0.0
13,0.9333333333333333,2,0.01,0.99,1,0,1,1,16,1.0
14,0.8,6,0.1,0.99,1,0,0,0,6,0.0
15,0.8,6,0.1,0.99,1,0,1,0,6,0.0
16,0.4,2,0.01,0.99,1,1,1,1,6,1.0
0,0.9333333333333333,2,0.01,0.0,1,0,1,0,16,0.0
1,0.8,6,0.1,0.99,0,0,0,0,6,0.0
0,0.3333333333333333,2,0.1,0.99,1,1,1,0,16,0.0
1,1.0,2,0.1,0.0,1,1,0,0,16,0.0
2,1.0,6,0.01,0.0,0,1,0,0,6,0.0
3,1.0,6,0.01,0.99,0,1,0,0,16,0.0
0,1.0,6,0.1,0.99,1,1,1,1,6,1.0
1,0.9333333333333333,6,0.01,0.99,0,0,0,1,16,0.0
2,0.9333333333333333,2,0.01,0.0,0,0,1,0,16,0.0
3,0.9333333333333333,2,0.01,0.0,1,1,0,0,16,0.0
4,0.4666666666666667,2,0.01,0.0,1,1,1,1,16,1.0
5,0.8,6,0.1,0.99,0,0,1,1,6,1.0
6,1.0,6,0.1,0.99,0,1,0,0,6,0.0
0,1.0,2,0.01,0.99,0,1,0,1,16,0.0
1,1.0,2,0.1,0.0,0,1,0,1,6,0.0
2,0.9333333333333333,6,0.1,0.0,1,0,0,1,16,0.0
3,0.4,2,0.01,0.99,1,1,1,1,16,1.0
4,0.8,2,0.1,0.99,0,1,1,1,6,1.0
5,0.9333333333333333,2,0.1,0.0,0,1,0,0,16,0.0
6,0.8666666666666667,2,0.01,0.0,0,1,1,1,16,1.0
0,0.4666666666666667,2,0.01,0.99,1,1,1,0,16,0.0
1,0.9333333333333333,2,0.01,0.0,1,0,0,1,16,0.0
2,0.4666666666666667,2,0.1,0.99,1,1,0,0,16,0.0
3,0.9333333333333333,6,0.01,0.0,1,0,0,0,16,0.0
4,0.9333333333333333,6,0.01,0.99,0,0,1,1,16,1.0
5,0.4666666666666667,2,0.01,0.99,1,1,1,1,16,1.0
6,0.8,6,0.01,0.0,1,1,1,0,6,0.0
7,1.0,6,0.1,0.99,1,1,0,1,16,0.0
8,0.9333333333333333,2,0.1,0.0,1,0,1,1,16,1.0
